Year,Municipality,Median Sales Price,Median Sales Price Inflation Adjusted
1995,Lexington,290000,451016.601
1995,Burlington,181000,281496.5682
1995,Natick,182500,283829.4127
1995,Norwood,169250,263222.6198
1995,Reading,195500,304047.3983
1995,Wakefield,199900,310890.4088
1995,Winchester,323500,503116.7946
1996,Lexington,311500,461731.0538
1996,Burlington,190000,281633.7086
1996,Natick,194800,288748.6654
1996,Norwood,168750,250135.2017
1996,Reading,217000,321655.3408
1996,Wakefield,199900,296308.3071
1996,Winchester,310000,459507.6298
1997,Lexington,354500,523504.838
1997,Burlington,195000,287964.5794
1997,Natick,203750,300886.067
1997,Norwood,174900,258282.0766
1997,Reading,215000,317499.4081
1997,Wakefield,163500,241447.2243
1997,Winchester,347500,513167.648
1998,Lexington,369900,537868.6399
1998,Burlington,212500,308994.5552
1998,Natick,228000,331532.9816
1998,Norwood,190000,276277.4847
1998,Reading,239900,348836.6767
1998,Wakefield,190000,276277.4847
1998,Winchester,372500,541649.2791
1999,Lexington,410000,583295.1381
1999,Burlington,250500,356379.1026
1999,Natick,265000,377007.8331
1999,Norwood,217000,308719.6218
1999,Reading,259900,369752.2107
1999,Wakefield,254950,362709.9889
1999,Winchester,411000,584717.8091
2000,Lexington,453950,624819.2053
2000,Burlington,276000,379887.8746
2000,Natick,314950,433498.8627
2000,Norwood,235500,324143.4582
2000,Reading,300000,412921.6028
2000,Wakefield,279900,385255.8554
2000,Winchester,489500,673750.4152
2001,Lexington,500000,669161.4907
2001,Burlington,317950,425519.7919
2001,Natick,335000,448338.1988
2001,Norwood,274000,366700.4969
2001,Reading,318500,426255.8696
2001,Wakefield,295000,394805.2795
2001,Winchester,562250,752472.0963
2002,Lexington,561550,739920.4823
2002,Burlington,350000,461173.8381
2002,Natick,385750,508279.4516
2002,Norwood,320000,421644.652
2002,Reading,369900,487394.8649
2002,Wakefield,312450,411696.4735
2002,Winchester,585000,770819.1294
2003,Lexington,615000,792375.8154
2003,Burlington,362250,466728.6815
2003,Natick,400000,515366.384
2003,Norwood,348000,448368.7541
2003,Reading,394400,508151.2546
2003,Wakefield,360000,463829.7456
2003,Winchester,687000,885141.7645
2004,Lexington,650000,837470.374
2004,Burlington,409950,528186.1228
2004,Natick,428450,552021.8181
2004,Norwood,385000,496040.1446
2004,Reading,421250,542745.2231
2004,Wakefield,391000,503770.6404
2004,Winchester,685000,882564.9326
2005,Lexington,691500,839207.6575
2005,Burlington,412500,500611.9432
2005,Natick,459450,557590.6843
2005,Norwood,404000,490296.3031
2005,Reading,438000,531558.8633
2005,Wakefield,479500,581923.4588
2005,Winchester,735000,891999.4624
2006,Lexington,682250,802107.3822
2006,Burlington,400000,470271.8254
2006,Natick,430000,505542.2123
2006,Norwood,388750,457045.4303
2006,Reading,420000,493785.4167
2006,Wakefield,373500,439116.317
2006,Winchester,724900,852250.1156
2007,Lexington,691500,790468.1902
2007,Burlington,410000,468679.6211
2007,Natick,432500,494399.8442
2007,Norwood,372500,425812.5826
2007,Reading,416750,476395.688
2007,Wakefield,377500,431528.1877
2007,Winchester,675250,771892.4735
2008,Lexington,700000,770597.2513
2008,Burlington,365000,401811.4239
2008,Natick,420000,462358.3508
2008,Norwood,356500,392454.1716
2008,Reading,402000,442542.9929
2008,Wakefield,320000,352273.0292
2008,Winchester,722500,795366.4487
2009,Lexington,630000,696013.7878
2009,Burlington,368000,406560.4348
2009,Natick,419500,463456.8
2009,Norwood,346500,382807.5833
2009,Reading,400000,441913.5161
2009,Wakefield,362000,399931.7321
2009,Winchester,710000,784396.491
2010,Lexington,693500,753803.1033
2010,Burlington,382000,415216.7058
2010,Natick,400000,434781.8909
2010,Norwood,349100,379455.8953
2010,Reading,421500,458151.4175
2010,Wakefield,362500,394021.0886
2010,Winchester,715000,777172.63
2011,Lexington,701500,739166.7319
2011,Burlington,358000,377222.6515
2011,Natick,387000,407779.7936
2011,Norwood,344950,363471.9375
2011,Reading,400000,421477.8229
2011,Wakefield,369000,388813.2916
2011,Winchester,739900,779628.6029
2012,Lexington,725000,748439.9636
2012,Burlington,384000,396415.098
2012,Natick,420000,433579.0134
2012,Norwood,330000,340669.2248
2012,Reading,420000,433579.0134
2012,Wakefield,339500,350476.3692
2012,Winchester,700500,723147.8545
2013,Lexington,829000,843447.9024
2013,Burlington,411000,418162.9528
2013,Natick,439000,446650.9399
2013,Norwood,381250,387894.4666
2013,Reading,460000,468016.9302
2013,Wakefield,355000,361186.9787
2013,Winchester,825000,839378.19
2014,Lexington,950000,951127.6274
2014,Burlington,428500,429008.6193
2014,Natick,477000,477566.1877
2014,Norwood,381250,381702.5347
2014,Reading,475000,475563.8137
2014,Wakefield,520750,521368.1179
2014,Winchester,905000,906074.2135
2015,Lexington,925000,925000
2015,Burlington,451000,451000
2015,Natick,521000,521000
2015,Norwood,411000,411000
2015,Reading,512000,512000
2015,Wakefield,455000,455000
2015,Winchester,918000,918000
